monitor,uniqueID,date,day,position,dose,anoxia,bins60,counts60,cum.day
1,Rep.A,8/1/2018,1,t14,20,n,4:00,6,6
1,Rep.A,8/1/2018,1,t14,20,n,5:00,0,6
1,Rep.A,8/1/2018,1,t14,20,n,6:00,0,6
1,Rep.A,8/1/2018,1,t14,20,n,7:00,9,15
1,Rep.A,8/1/2018,1,t14,20,n,8:00,0,15
1,Rep.A,8/1/2018,1,t14,20,n,9:00,0,15
1,Rep.A,8/1/2018,1,t14,20,n,10:00,2,17
1,Rep.A,8/1/2018,1,t14,20,n,11:00,0,17
1,Rep.A,8/1/2018,1,t14,20,n,12:00,4,21
1,Rep.A,8/1/2018,1,t14,20,n,13:00,0,21
1,Rep.A,8/1/2018,1,t14,20,n,14:00,0,21
1,Rep.A,8/1/2018,1,t14,20,n,15:00,0,21
1,Rep.A,8/1/2018,1,t14,20,n,16:00,8,29
1,Rep.A,8/1/2018,1,t14,20,n,17:00,2,31
1,Rep.A,8/1/2018,1,t14,20,n,18:00,7,38
1,Rep.A,8/1/2018,1,t14,20,n,19:00,17,55
1,Rep.A,8/1/2018,1,t14,20,n,20:00,30,85
1,Rep.A,8/1/2018,1,t14,20,n,21:00,6,91
1,Rep.A,8/1/2018,1,t14,20,n,22:00,0,91
1,Rep.A,8/1/2018,1,t14,20,n,23:00,0,91
1,Rep.A,8/1/2018,1,t14,20,n,0:00,0,91
1,Rep.A,8/1/2018,1,t15,0,n,1:00,0,0
1,Rep.A,8/1/2018,1,t15,0,n,2:00,0,0
1,Rep.A,8/1/2018,1,t15,0,n,3:00,0,0
1,Rep.A,8/1/2018,1,t15,0,n,4:00,0,0
1,Rep.A,8/1/2018,1,t15,0,n,5:00,0,0
1,Rep.A,8/1/2018,1,t15,0,n,6:00,0,0
1,Rep.A,8/1/2018,1,t15,0,n,7:00,17,17
1,Rep.A,8/1/2018,1,t15,0,n,8:00,2,19
1,Rep.A,8/1/2018,1,t15,0,n,9:00,5,24
1,Rep.A,8/1/2018,1,t15,0,n,10:00,0,24
1,Rep.A,8/1/2018,1,t15,0,n,11:00,8,32
1,Rep.A,8/1/2018,1,t15,0,n,12:00,1,33
1,Rep.A,8/1/2018,1,t15,0,n,13:00,0,33
1,Rep.A,8/1/2018,1,t15,0,n,14:00,8,41
1,Rep.A,8/1/2018,1,t15,0,n,15:00,5,46
1,Rep.A,8/1/2018,1,t15,0,n,16:00,2,48
1,Rep.A,8/1/2018,1,t15,0,n,17:00,9,57
1,Rep.A,8/1/2018,1,t15,0,n,18:00,3,60
1,Rep.A,8/1/2018,1,t15,0,n,19:00,2,62
1,Rep.A,8/1/2018,1,t15,0,n,20:00,1,63
1,Rep.A,8/1/2018,1,t15,0,n,21:00,1,64
1,Rep.A,8/1/2018,1,t15,0,n,22:00,0,64
1,Rep.A,8/1/2018,1,t15,0,n,23:00,0,64
1,Rep.A,8/1/2018,1,t15,0,n,0:00,0,64
1,Rep.A,8/1/2018,1,t16,0,a,1:00,0,0
1,Rep.A,8/1/2018,1,t16,0,a,2:00,0,0
